Node,Organism,Type,Pathway,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
rn:R12429,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.027534965034965036,3.598681982339277e-17
cpd:C06423,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.026797677534613668,8.588214732619818e-18
rn:R07618,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.026104251263777245,2.7239853252083622e-18
cpd:C15972,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.025440668726149373,7.934792646433434e-19
rn:R01397,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.11344856714197461,0.05856651482755415,0.00029832918442277025
cpd:C00438,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.11205038012027688,0.05569553109667153,6.693699685741116e-05
rn:R01993,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.11064967157103774,0.05308839639335974,1.5026430484246216e-05
cpd:C00337,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.10924644149425723,0.05071034732563287,3.375171024675625e-06
rn:R01867,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.10784068988993532,0.048532470533857175,7.587007628234209e-07
cpd:C00295,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.10643241675807205,0.04653052180656597,1.7109589816493453e-07
rn:R01870,bsu,reaction,Biosynthesis of cofactors,0.002380952380952381,0.10510861479884515,0.04468402014327257,4.048868001299514e-08
 cpd:C00119,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.04277421326000611,8.6829846454453e-09
cpd:C01103,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.10219246819723389,0.042972613485215375,9.168974975549077e-09
rn:R00965,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.10077410895520507,0.04138474676476384,2.2131054422136234e-09
rn:R07460,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.05392450569203116,4.350881219051487e-05
cpd:C15812,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.05116751269035533,9.320882028615089e-06
rn:R03472,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.018881198229887666,0.037364331890160724,2.494634304036765e-10
